vdlName,VDL_ID,CLASS,LAT,LON
EF01 GRID,EF01,GRID,37.14002035,-8.628644448
EF02 GRID,EF02,GRID,37.13971474,-8.628675552
ER01 GRID,ER01,GRID,37.14082,-8.632846
ER02 GRID,ER02,GRID,37.14087107,-8.632553019
ER02 GRID,ER02,GRID,37.1408586,-8.632549451
ER03 GRID,ER03,GRID,37.14087107,-8.632553019
ER04 GRID,ER04,GRID,37.14094531,-8.63192231
ER04 GRID,ER04,GRID,37.14095998,-8.631856317
ER05 GRID,ER05,GRID,37.14090193,-8.631636035
ER06 GRID,ER06,GRID,37.14084686,-8.631324181
FE01 GRID,FE01,GRID,37.13943596,-8.629727202
FF01 GRID,FF01,GRID,37.14023257,-8.63003486
FR01 GRID,FR01,GRID,37.14005343,-8.630333879
FR01 GRID,FR01,GRID,37.13939379,-8.630794712
FR02 GRID,FR02,GRID,37.14008966,-8.630561214
FW01 GRID,FW01,GRID,37.13945317,-8.630811802
LG01 GRID,LG01,GRID,37.14121881,-8.630830565
LL01 GRID,LL01,GRID,37.14258409,-8.627829545
LL02 GRID,LL02,GRID,37.14287364,-8.628500413
LL03 GRID,LL03,GRID,37.14353413,-8.628386631
LL04 GRID,LL04,GRID,37.14422852,-8.62806061
LL05 GRID,LL05,GRID,37.14379114,-8.627042948
LL06 GRID,LL06,GRID,37.1438604,-8.625326689
LL07 GRID,LL07,GRID,37.14262181,-8.626707972
LL08 GRID,LL08,GRID,37.14173332,-8.626351506
LL09 GRID,LL09,GRID,37.1408997,-8.626911769
LL10 GRID,LL10,GRID,37.14190652,-8.627724617
MN01 GRID,MN01,GRID,37.13996066,-8.63466836
MN01 GRID,MN01,GRID,37.13995817,-8.634665428
MN02 HM-TEST,MN02,HM-TEST,37.13996066,-8.63466836
MN03 HM-CONTROL,MN03,HM-CONTROL,37.13996066,-8.63466836
MN04 HM-TEST,MN04,HM-TEST,37.13988197,-8.635260695
MN04 HM-TEST,MN04,HM-TEST,37.13995817,-8.634665428
MN05 HM-CONTROL,MN05,HM-CONTROL,37.13988197,-8.635260695
MN06 HM-TEST,MN06,HM-TEST,37.13988197,-8.635260695
MN07 HM-CONTROL,MN07,HM-CONTROL,37.13984045,-8.635665486
MN08 HM-TEST,MN08,HM-TEST,37.13984045,-8.635665486
MN09 HM-CONTROL,MN09,HM-CONTROL,37.13984045,-8.635665486
MN09 HM-CONTROL,MN09,HM-CONTROL,37.14002197,-8.635472123
MN10 HM-CONTROL,MN10,HM-CONTROL,37.14004631,-8.635092809
MN11 HM-TEST,MN11,HM-TEST,37.14004631,-8.635092809
MN11 HM-TEST,MN11,HM-TEST,37.13992186,-8.635615568
MN12 GRID,MN12,GRID,37.14004631,-8.635092809
MN12 GRID,MN12,GRID,37.14013621,-8.634728135
MN13 SW-TEST,MN13,SW-TEST,37.1402362,-8.634870131
MN14 MA-TEST,MN14,MA-TEST,37.1402362,-8.634870131
MN15 MAb-TEST,MN15,MAb-TEST,37.1402362,-8.634870131
MN16 MA-TEST,MN16,MA-TEST,37.1402362,-8.634870131
MN17 SW-TEST,MN17,SW-TEST,37.14018467,-8.635034531
MN18 MB-TEST,MN18,MB-TEST,37.14018467,-8.635034531
MN19 MBb-TEST,MN19,MBb-TEST,37.14018467,-8.635034531
MN20 MB-TEST,MN20,MB-TEST,37.14018467,-8.635034531
MN21 SW-TEST,MN21,SW-TEST,37.14018467,-8.635034531
MN21 SW-TEST,MN21,SW-TEST,37.14023097,-8.635111045
MN22 MC-TEST,MN22,MC-TEST,37.14026223,-8.635092601
MN23 MCb-TEST,MN23,MCb-TEST,37.14031525,-8.63510937
MN24 MC-TEST,MN24,MC-TEST,37.14031525,-8.63510937
MN25 SW-TEST,MN25,SW-TEST,37.14019954,-8.635155251
MN26 MA-TEST,MN26,MA-TEST,37.14031525,-8.63510937
MN27 MAb-TEST,MN27,MAb-TEST,37.14029685,-8.635182897
MN28 MA-TEST,MN28,MA-TEST,37.14037604,-8.635213702
MN29 SW-TEST,MN29,SW-TEST,37.14037604,-8.635213702
MN30 MB-TEST,MN30,MB-TEST,37.14037604,-8.635213702
MN31 MC-TEST,MN31,MC-TEST,37.14023255,-8.635353444
MN32 MCb-TEST,MN32,MCb-TEST,37.14023621,-8.635430149
MN33 MC-TEST,MN33,MC-TEST,37.14023621,-8.635430149
MN34 MCb-TEST,MN34,MCb-TEST,37.14040579,-8.63541277
MN35 MC-TEST,MN35,MC-TEST,37.14040579,-8.63541277
MN36 MBb-TEST,MN36,MBb-TEST,37.14040579,-8.63541277
MN37 MB-TEST,MN37,MB-TEST,37.14040579,-8.63541277
MN38 MAb-TEST,MN38,MAb-TEST,37.14040579,-8.63541277
MN39 MA-TEST,MN39,MA-TEST,37.14045986,-8.635250569
MN40 MCb-TEST,MN40,MCb-TEST,37.14045986,-8.635250569
MN41 MC-TEST,MN41,MC-TEST,37.14045986,-8.635250569
MN42 MBb-TEST,MN42,MBb-TEST,37.14045986,-8.635250569
MN43 MB-TEST,MN43,MB-TEST,37.14045986,-8.635250569
MN44 MAb-TEST,MN44,MAb-TEST,37.14044754,-8.635016509
MN45 MA-TEST,MN45,MA-TEST,37.14044754,-8.635016509
MN46 MAb-TEST,MN46,MAb-TEST,37.14044754,-8.635016509
MN47 MA-TEST,MN47,MA-TEST,37.14044754,-8.635016509
NF01 GRID,NF01,GRID,37.14039605,-8.629283285
OG01 GRID,OG01,GRID,37.14088768,-8.634026809
OG02 GRID,OG02,GRID,37.14094709,-8.633649414
OG02 GRID,OG02,GRID,37.1408556,-8.633648269
OG03 GRID,OG03,GRID,37.14069283,-8.633818629
OG04 GRID,OG04,GRID,37.14092863,-8.633318445
OG05 GRID,OG05,GRID,37.14069132,-8.633142653
OG06 GRID,OG06,GRID,37.14069132,-8.633142653
OG07 GRID,OG07,GRID,37.14050313,-8.633361524
OG07 GRID,OG07,GRID,37.14045275,-8.633365339
OG08 GRID,OG08,GRID,37.14069132,-8.633142653
SB01 GRID,SB01,GRID,37.13898291,-8.631051807
SB02 GRID,SB02,GRID,37.1389363,-8.631648086
SB03 GRID,SB03,GRID,37.13892811,-8.631702926
SB03 GRID,SB03,GRID,37.13883021,-8.63221325
SB04 GRID,SB04,GRID,37.13875433,-8.632570252
SB04 GRID,SB04,GRID,37.13877178,-8.632562019
SB05 GRID,SB05,GRID,37.13872807,-8.632917977
SB06 GRID,SB06,GRID,37.13846285,-8.634288168
SB07 GRID,SB07,GRID,37.13846285,-8.634288168
SB07 GRID,SB07,GRID,37.13863869,-8.63359501
SB08 GRID,SB08,GRID,37.13846285,-8.634288168
SB09 GRID,SB09,GRID,37.13846285,-8.634288168
SB10 GRID,SB10,GRID,37.138352,-8.634617217
SB11 GRID,SB11,GRID,37.13831354,-8.634885309
SB12 GRID,SB12,GRID,37.13822097,-8.635243077
SS01 SW1a-TEST,SS01,SW1a-TEST,37.1391344,-8.633603493
SS01 SW1a-TEST,SS01,SW1a-TEST,37.13912553,-8.633633007
SS02 SW1a-TEST,SS02,SW1a-TEST,37.13922088,-8.633568098
SS02 SW1a-TEST,SS02,SW1a-TEST,37.13922996,-8.633567211
SS03 SW1a-TEST,SS03,SW1a-TEST,37.13929881,-8.63355263
SS03 SW1a-TEST,SS03,SW1a-TEST,37.13922996,-8.633567211
SS04 SW1t-TEST,SS04,SW1t-TEST,37.13929881,-8.63355263
SS05 SW1t-TEST,SS05,SW1t-TEST,37.13929881,-8.63355263
SS05 SW1t-TEST,SS05,SW1t-TEST,37.13919279,-8.633510465
SS06 SW1b-TEST,SS06,SW1b-TEST,37.13929881,-8.63355263
SS06 SW1b-TEST,SS06,SW1b-TEST,37.1393304,-8.633465281
SS07 SW1b-TEST,SS07,SW1b-TEST,37.1391043,-8.63357598
SS07 SW1b-TEST,SS07,SW1b-TEST,37.1393304,-8.633465281
SS08 SW1b-TEST,SS08,SW1b-TEST,37.13923201,-8.633432432
SS09 SW1p-TEST,SS09,SW1p-TEST,37.13923201,-8.633432432
SS10 SW1p-TEST,SS10,SW1p-TEST,37.13913081,-8.633390528
SS10 SW1p-TEST,SS10,SW1p-TEST,37.13914815,-8.633426582
SS11 SW2a-TEST,SS11,SW2a-TEST,37.13913081,-8.633390528
SS12 SW2a-TEST,SS12,SW2a-TEST,37.13913081,-8.633390528
SS12 SW2a-TEST,SS12,SW2a-TEST,37.13923487,-8.633344865
SS13 SW2a-TEST,SS13,SW2a-TEST,37.13913081,-8.633390528
SS13 SW2a-TEST,SS13,SW2a-TEST,37.13923487,-8.633344865
SS14 SW2t-TEST,SS14,SW2t-TEST,37.13931035,-8.633197488
SS15 SW2t-TEST,SS15,SW2t-TEST,37.13929788,-8.632910605
SS16 SW2b-TEST,SS16,SW2b-TEST,37.13920612,-8.633161415
SS17 SW2b-TEST,SS17,SW2b-TEST,37.13920612,-8.633161415
SS18 SW2b-TEST,SS18,SW2b-TEST,37.13920612,-8.633161415
SS19 SW2p-TEST,SS19,SW2p-TEST,37.13933631,-8.633137009
SS20 SW3a-TEST,SS20,SW3a-TEST,37.13920612,-8.633161415
SS21 SW2p-TEST,SS21,SW2p-TEST,37.13920612,-8.633161415
SS22 SW3a-TEST,SS22,SW3a-TEST,37.13929788,-8.632910605
SS23 SW3a-TEST,SS23,SW3a-TEST,37.13933631,-8.633137009
SS24 SW3t-TEST,SS24,SW3t-TEST,37.1393913,-8.6329389
SS25 SW3t-TEST,SS25,SW3t-TEST,37.1393913,-8.6329389
SS26 SW3b-TEST,SS26,SW3b-TEST,37.1393913,-8.6329389
SS27 SW3b-TEST,SS27,SW3b-TEST,37.1393913,-8.6329389
SS28 SW3b-TEST,SS28,SW3b-TEST,37.13945396,-8.632777664
SS29 SW3p-TEST,SS29,SW3p-TEST,37.13945396,-8.632777664
SS30 SW3p-TEST,SS30,SW3p-TEST,37.13934434,-8.632785563
SS31 SW3p-TEST,SS31,SW3p-TEST,37.13934434,-8.632785563
SS32 SW3p-TEST,SS32,SW3p-TEST,37.13957013,-8.632608079
SS33 SW3p-TEST,SS33,SW3p-TEST,37.1397004,-8.632599271
SS34 SW3p-TEST,SS34,SW3p-TEST,37.13936782,-8.632623589
SS35 SW3p-TEST,SS35,SW3p-TEST,37.1397136,-8.632426033
SS36 HPG-TEST,SS36,HPG-TEST,37.13994046,-8.631761231
SS37 HPG-TEST,SS37,HPG-TEST,37.13994046,-8.631761231
SS38 HPG-TEST,SS38,HPG-TEST,37.13994046,-8.631761231
SS39 HPG-TEST,SS39,HPG-TEST,37.13909967,-8.632393582
SS40 HPG-TEST,SS40,HPG-TEST,37.13919749,-8.632476144
SS41 HPG-TEST,SS41,HPG-TEST,37.1395201,-8.63239301
SS42 HPG-TEST,SS42,HPG-TEST,37.13994046,-8.631761231
SS43 HPG-TEST,SS43,HPG-TEST,37.13932555,-8.632014799
SS44 HPG-CONTROL,SS44,HPG-CONTROL,37.13933,-8.63201
SS45 HPG-CONTROL,SS45,HPG-CONTROL,37.13948409,-8.632024618
SS46 HPG-CONTROL,SS46,HPG-CONTROL,37.13958434,-8.631972931
SS47 HPG-CONTROL,SS47,HPG-CONTROL,37.13949353,-8.631926458
SS48 HPG-CONTROL,SS48,HPG-CONTROL,37.13994046,-8.631761231
SS49 GRID,SS49,GRID,37.13982148,-8.632140842
SS50 GRID,SS50,GRID,37.13994046,-8.631761231
SS51 GRID,SS51,GRID,37.1400117,-8.631588835
SS52 GRID,SS52,GRID,37.14015751,-8.631277221
SS53 GRID,SS53,GRID,37.1392109,-8.630932905
SS54 GRID,SS54,GRID,37.13918292,-8.631741071
SS55 GRID,SS55,GRID,37.13910229,-8.631447468
SS56 GRID,SS56,GRID,37.13920719,-8.631733715
SS57 GRID,SS57,GRID,37.13900839,-8.632009607
SS57 GRID,SS57,GRID,37.13902072,-8.632011956
SS58 GRID,SS58,GRID,37.13890786,-8.633488809
TN01 GRID,TN01,GRID,37.13913658,-8.635204343
TN02 GRID,TN02,GRID,37.13913719,-8.635203345
TN03 GRID,TN03,GRID,37.1393987,-8.634703927
TN04 GRID,TN04,GRID,37.13942732,-8.635135566
TN05 GRID,TN05,GRID,37.13942732,-8.635135566
TN05 GRID,TN05,GRID,37.13930677,-8.635426739
TN06 GRID,TN06,GRID,37.13942732,-8.635135566
TN07 GRID,TN07,GRID,37.13913599,-8.63555585
TN07 GRID,TN07,GRID,37.13914403,-8.635572285
TN08 GRID,TN08,GRID,37.13913599,-8.63555585
TN09 GRID,TN09,GRID,37.13959662,-8.634834583
TN10 GRID,TN10,GRID,37.13959662,-8.634834583
TN11 GRID,TN11,GRID,37.13959662,-8.634834583
TN12 GRID,TN12,GRID,37.13928641,-8.635873581
TN13 GRID,TN13,GRID,37.13927026,-8.636140639
TN14 GRID,TN14,GRID,37.13927026,-8.636140639
TN15 GRID,TN15,GRID,37.13963304,-8.635647548
TN16 GRID,TN16,GRID,37.13963304,-8.635647548
TN16 GRID,TN16,GRID,37.13969389,-8.635039453
TN17 GRID,TN17,GRID,37.13966131,-8.634818738
TN18 GRID,TN18,GRID,37.13979199,-8.634589343
TS01 GRID,TS01,GRID,37.13837397,-8.635637283
TS02 GRID,TS02,GRID,37.13839599,-8.635611407
TS02 GRID,TS02,GRID,37.1385435,-8.635433884
TS03 GRID,TS03,GRID,37.13832962,-8.635290116
TS04 GRID,TS04,GRID,37.13852327,-8.635104033
TS05 GRID,TS05,GRID,37.13849409,-8.634761089
TS06 GRID,TS06,GRID,37.13871824,-8.634554454
TS07 GRID,TS07,GRID,37.13874134,-8.634229643
TS08 GRID,TS08,GRID,37.13889966,-8.633962412
TS09 GRID,TS09,GRID,37.13897829,-8.634243622
TS10 GRID,TS10,GRID,37.13886649,-8.6345981
TS11 GRID,TS11,GRID,37.13878464,-8.634965537
TS12 GRID,TS12,GRID,37.13886105,-8.635232272
TS13 GRID,TS13,GRID,37.13905877,-8.634895242
TS14 GRID,TS14,GRID,37.1391693,-8.634657257
TS15 GRID,TS15,GRID,37.13909171,-8.634292355
TS15 GRID,TS15,GRID,37.13964005,-8.629244239
WZ01 GRID,WZ01,GRID,37.13820901,-8.635637127
WZ02 GRID,WZ02,GRID,37.13814656,-8.635955723
WZ03 GRID,WZ03,GRID,37.1382137,-8.636191338
WZ04 GRID,WZ04,GRID,37.13814128,-8.636439694
WZ05 GRID,WZ05,GRID,37.13845093,-8.636200872
WZ06 GRID,WZ06,GRID,37.13852207,-8.635951029
